location,clinic_name,doctors,address,contact_primary,contacts,contact_notes,google_maps_url,operating_hours_text,general_notes
Clementi,My Family Clinic (Clementi),Dr Chang Wei Tee | Dr Teoh Shin Ee,"420A Clementi Avenue 1, #01-05, Singapore 121420",66942574,66942574,,https://www.google.com/maps/search/?api=1&query=My+Family+Clinic+%28Clementi%29%2C+420A+Clementi+Avenue+1%2C+%2301-05%2C+Singapore+121420,Mon - Fri: 8:00am - 2:00pm 6:00pm - 10:00pm | Sat & Sun: 8:00am - 1:00pm | Closed on PH,
Clementi,My Family Clinic (Clementi 325),Dr Lim Jun Hong,"325 Clementi Avenue 5, #01-139, Singapore 120325",67784608,67784608,,https://www.google.com/maps/search/?api=1&query=My+Family+Clinic+%28Clementi+325%29%2C+325+Clementi+Avenue+5%2C+%2301-139%2C+Singapore+120325,Mon - Thurs: 8:00am - 1:00pm 2.00pm - 5.00pm 6.00pm - 9.00pm | Fri: 8:00am - 1:00pm 2.00pm - 5.00pm | Sat: 8:00am - 12:00pm | Closed on Sun & PH,
Clementi,Our West Coast Family Clinic,Dr Tan Yan Yuan | Dr Zheng Qing Yu,"801 West Coast, Crescent, #01-03, Singapore 120801",98338279,98338279,,https://www.google.com/maps/search/?api=1&query=Our+West+Coast+Family+Clinic%2C+801+West+Coast%2C+Crescent%2C+%2301-03%2C+Singapore+120801,Mon - Fri: 8:00am - 2:00pm 6:00pm - 9:00pm | Sat: 2:00pm - 6:00pm | Sun: 8:00am - 1:00pm 6:00pm - 9:00pm | Closed on PH,
Clementi,OneCare Clinic (Clementi),Dr Azri Bohari | Dr Poh Zhongxian Adrian,"449 Clementi Ave 3, #01-241, Lot C, Singapore 120449",69709300,69709300,,https://www.google.com/maps/search/?api=1&query=OneCare+Clinic+%28Clementi%29%2C+449+Clementi+Ave+3%2C+%2301-241%2C+Lot+C%2C+Singapore+120449,Mon -Thurs: 8:00am - 3:00pm 6:00pm - 9:00pm | Fri: 8:00am - 3:00pm | Sat: 8:00am - 12:00pm | Sun: 8:00am - 12:00pm 6:00pm - 9:00pm,
Clementi,Unity Medical Clinic,Dr Li Ke,"501 West Coast Drive, #01-250, Singapore 120501",65189379,65189379,,https://www.google.com/maps/search/?api=1&query=Unity+Medical+Clinic%2C+501+West+Coast+Drive%2C+%2301-250%2C+Singapore+120501,"Mon & Thurs: 8:00am - 1.00pm 2:00pm - 5:00pm 6:00pm - 9:00pm | Wed: 8:00am - 1:00pm | Tues & Fri: 8:00am - 1:00pm 2.00pm - 5:00pm | Sat, Sun & PH 8:00am - 1:00pm",
Clementi,Love & Joy Family Clinic,Dr Teo Roger Chee Yih,"105 Clementi Street 12, #01-24, Singapore 658713",63203830,63203830,,https://www.google.com/maps/search/?api=1&query=Love+%26+Joy+Family+Clinic%2C+105+Clementi+Street+12%2C+%2301-24%2C+Singapore+658713,"Mon - Fri: 8:30am - 1:00pm 5:30pm - 8:30pm | Sat, Sun & PH 9:00am - 1:00pm subject to change for PH, call the clinic before visit",
Clementi,Raffles Medical (Clementi),Dr Nyi Htun,"446 Clementi Avenue 3, #01-189, Singapore 120446",68729043,68729043,,https://www.google.com/maps/search/?api=1&query=Raffles+Medical+%28Clementi%29%2C+446+Clementi+Avenue+3%2C+%2301-189%2C+Singapore+120446,Mon - Sat: 8:30am - 1:00pm 2:00pm - 5:30pm 6:30pm - 9:30pm | Sun & PH: 8:30am - 1:00pm,
Clementi,The Dublin Clinic,Dr Teo Yi Jin,"109 Clementi Street 11, #01-25, Singapore 120109",67747300,67747300,,https://www.google.com/maps/search/?api=1&query=The+Dublin+Clinic%2C+109+Clementi+Street+11%2C+%2301-25%2C+Singapore+120109,Mon - Thurs: 8:00am - 1:00pm 5:00pm - 8:00pm | Fri: 8:00am - 1:00pm | Sat: 10:00am - 1:00pm | Sun: 5:00pm - 8:00pm | Closed on PHS,
Clementi,Yarra Medical Clinic,Dr Seah Kwee Kang,"1 West Coast Drive, #01-11, Singapore 128020",62643703,62643703,,https://www.google.com/maps/search/?api=1&query=Yarra+Medical+Clinic%2C+1+West+Coast+Drive%2C+%2301-11%2C+Singapore+128020,Mon - Wed: 8:30am - 1:00pm 2:00pm - 6:30pm | Thurs & Fri: 8:30am - 1:00pm | Sat: 8:30am - 12:30pm | Closed on Sun & PH,
Eunos,Caritas Clinic,Dr Chan Cheow Ju,"304 Ubi Avenue 1, #01-127, Singapore 400304",67489284,67489284,,https://www.google.com/maps/search/?api=1&query=Caritas+Clinic%2C+304+Ubi+Avenue+1%2C+%2301-127%2C+Singapore+400304,Mon - Wed: 8:30am - 4:00pm 6:00pm - 7:30pm | Thurs & Fri: 8:30am - 4:00pm | Sat & Sun: 9:30am - 12:00pm | Closed on PH,
